Tamanho,Threads,Tempo
10,1,2224
10,2,393
10,3,270
10,4,240
10,5,220
10,6,219
10,7,217
10,8,224
10,9,211
10,10,214
100,1,353
100,2,2923
100,3,245
100,4,234
100,5,233
100,6,251
100,7,239
100,8,238
100,9,1433
100,10,238
100,11,230
100,12,231
100,13,262
100,14,236
100,15,235
100,16,230
100,17,228
100,18,231
100,19,225
100,20,255
100,21,236
100,22,231
100,23,1428
100,24,252
100,25,234
100,26,231
100,27,238
100,28,236
100,29,238
100,30,235
100,31,236
100,32,232
100,33,231
100,34,231
100,35,242
100,36,233
100,37,232
100,38,228
100,39,227
100,40,243
100,41,230
100,42,232
100,43,2108
100,44,418
100,45,358
100,46,355
100,47,303
100,48,483
100,49,352
100,50,2622
100,51,497
100,52,338
100,53,386
100,54,423
100,55,393
100,56,397
100,57,2372
100,58,418
100,59,364
100,60,267
100,61,246
100,62,245
100,63,423
100,64,473
100,65,416
100,66,459
100,67,446
100,68,436
100,69,391
100,70,438
100,71,4591
100,72,240
100,73,239
100,74,239
100,75,243
100,76,249
100,77,370
100,78,1627
100,79,241
100,80,241
100,81,246
100,82,243
100,83,244
100,84,8807
100,85,4091
100,86,273
100,87,242
100,88,306
100,89,232
100,90,229
100,91,219
100,92,1588
100,93,244
100,94,236
100,95,236
100,96,236
100,97,227
100,98,229
100,99,1538
100,100,249
1000,1,1720
1000,2,1771
1000,3,1659
1000,4,1776
1000,5,1619
1000,6,1655
1000,7,1579
1000,8,1589
1000,9,1635
1000,10,2936
1000,11,1666
1000,12,2102
1000,13,1555
1000,14,1587
1000,15,2326
1000,16,1633
1000,17,1577
1000,18,2299
1000,19,1590
1000,20,1566
1000,21,1568
1000,22,1576
1000,23,1564
1000,24,1575
1000,25,2853
1000,26,1613
1000,27,1670
1000,28,1630
1000,29,1550
1000,30,374
1000,31,1608
1000,32,1593
1000,33,1579
1000,34,1641
1000,35,1665
1000,36,1627
1000,37,1617
1000,38,1669
1000,39,2652
1000,40,1658
1000,41,1596
1000,42,1648
1000,43,1652
1000,44,1801
1000,45,1908
1000,46,1658
1000,47,1614
1000,48,1726
1000,49,468
1000,50,1610
1000,51,1556
