Tamanho,Threads,Tempo
10,1,248
10,2,128
10,3,97
10,4,116
10,5,171
10,6,96
10,7,108
10,8,102
10,9,106
10,10,95
100,1,188
100,2,131
100,3,133
100,4,195
100,5,149
100,6,153
100,7,140
100,8,129
100,9,132
100,10,129
100,11,127
100,12,223
100,13,142
100,14,187
100,15,128
100,16,198
100,17,135
100,18,136
100,19,138
100,20,127
100,21,129
100,22,133
100,23,128
100,24,152
100,25,130
100,26,134
100,27,144
100,28,131
100,29,129
100,30,128
100,31,142
100,32,139
100,33,133
100,34,132
100,35,132
100,36,134
100,37,195
100,38,142
100,39,126
100,40,138
100,41,130
100,42,128
100,43,127
100,44,145
100,45,215
100,46,128
100,47,136
100,48,137
100,49,128
100,50,130
100,51,133
100,52,136
100,53,127
100,54,128
100,55,150
100,56,135
100,57,129
100,58,129
100,59,131
100,60,129
100,61,135
100,62,141
100,63,128
100,64,145
100,65,137
100,66,127
100,67,128
100,68,129
100,69,129
100,70,128
100,71,129
100,72,128
100,73,128
100,74,127
100,75,128
100,76,128
100,77,129
100,78,128
100,79,136
100,80,140
100,81,129
100,82,130
100,83,130
100,84,137
100,85,127
100,86,128
100,87,134
100,88,127
100,89,127
100,90,128
100,91,135
100,92,127
100,93,129
100,94,143
100,95,130
100,96,128
100,97,131
100,98,137
100,99,128
100,100,212
1000,1,835
1000,2,782
1000,3,711
1000,4,761
1000,5,721
1000,6,806
1000,7,1022
1000,8,607
1000,9,667
1000,10,515
1000,11,538
1000,12,583
1000,13,612
1000,14,679
1000,15,575
1000,16,1009
1000,17,543
1000,18,647
1000,19,680
1000,20,549
1000,21,1007
1000,22,602
1000,23,754
1000,24,598
1000,25,915
1000,26,629
1000,27,1183
1000,28,732
1000,29,613
1000,30,686
1000,31,631
1000,32,772
1000,33,634
1000,34,715
1000,35,692
1000,36,751
1000,37,543
1000,38,959
1000,39,573
1000,40,782
1000,41,686
1000,42,526
1000,43,518
1000,44,506
1000,45,669
1000,46,627
1000,47,643
1000,48,527
1000,49,677
1000,50,734
1000,51,669
1000,52,838
1000,53,732
1000,54,657
1000,55,656
1000,56,586
1000,57,711
1000,58,569
1000,59,880
1000,60,649
1000,61,722
1000,62,848
1000,63,657
1000,64,1474
1000,65,597
1000,66,695
1000,67,575
1000,68,592
1000,69,863
1000,70,606
1000,71,566
1000,72,534
1000,73,556
1000,74,558
1000,75,638
1000,76,531
1000,77,691
1000,78,594
1000,79,520
1000,80,512
1000,81,610
1000,82,645
1000,83,556
1000,84,814
1000,85,655
1000,86,680
1000,87,669
1000,88,639
1000,89,535
1000,90,791
1000,91,617
1000,92,578
1000,93,642
1000,94,555
1000,95,590
1000,96,512
1000,97,591
1000,98,550
1000,99,654
1000,100,538
10000,1,7675
10000,2,6689
10000,3,6726
10000,4,6479
10000,5,6217
10000,6,7019
10000,7,6093
10000,8,6901
10000,9,7048
10000,10,5728
10000,11,7083
10000,12,5784
10000,13,6716
10000,14,5903
10000,15,6689
10000,16,5666
10000,17,6160
10000,18,5938
10000,19,6069
10000,20,5576
10000,21,5720
10000,22,5770
10000,23,6462
10000,24,6527
10000,25,6117
10000,26,6142
10000,27,6511
10000,28,5860
10000,29,7954
10000,30,6418
10000,31,6409
10000,32,6261
10000,33,6967
10000,34,6364
10000,35,6063
10000,36,7279
10000,37,6027
10000,38,7161
10000,39,5496
10000,40,6480
10000,41,6736
10000,42,6304
10000,43,5850
10000,44,5974
10000,45,6197
10000,46,6852
10000,47,5777
10000,48,6690
10000,49,6342
10000,50,7425
10000,51,5726
10000,52,6796
10000,53,6304
10000,54,6398
10000,55,6078
10000,56,6322
10000,57,7152
10000,58,5623
10000,59,6327
10000,60,5777
10000,61,6868
10000,62,6171
10000,63,6607
10000,64,5675
10000,65,6758
10000,66,6050
10000,67,6120
10000,68,5569
10000,69,6404
10000,70,5982
10000,71,6898
10000,72,5744
10000,73,5754
10000,74,5799
10000,75,6182
10000,76,6082
10000,77,6251
10000,78,7304
10000,79,6946
10000,80,6066
10000,81,6920
10000,82,6223
10000,83,6631
10000,84,6578
10000,85,6281
10000,86,5890
10000,87,6814
10000,88,6263
10000,89,6474
10000,90,6249
10000,91,5861
10000,92,6003
10000,93,5582
10000,94,6360
10000,95,6396
10000,96,6454
10000,97,6561
10000,98,6036
10000,99,6062
10000,100,6060
100000,1,148457
100000,2,144573
100000,3,146091
100000,4,143890
100000,5,143693
100000,6,145107
100000,7,147142
100000,8,146737
100000,9,140026
100000,10,148942
100000,11,138919
100000,12,174487
100000,13,147490
100000,14,135002
100000,15,134196
100000,16,147233
100000,17,142484
100000,18,150097
100000,19,121965
100000,20,101475
100000,21,117239
100000,22,126017
100000,23,111101
100000,24,110514
100000,25,111463
100000,26,112680
100000,27,108601
100000,28,110267
100000,29,113744
100000,30,112029
100000,31,99905
100000,32,104217
100000,33,102842
100000,34,101625
100000,35,106105
100000,36,98605
100000,37,99647
100000,38,101978
100000,39,101053
100000,40,104949
100000,41,104447
100000,42,104110
100000,43,108060
100000,44,105086
100000,45,104267
100000,46,105632
100000,47,172941
100000,48,107079
100000,49,107181
100000,50,108815
100000,51,162779
100000,52,143702
100000,53,112167
100000,54,111807
100000,55,115025
100000,56,113655
100000,57,107354
100000,58,78812
100000,59,74443
100000,60,72307
100000,61,66040
100000,62,62711
100000,63,64984
100000,64,65146
100000,65,63864
100000,66,64110
100000,67,62990
100000,68,64441
100000,69,64220
100000,70,64409
100000,71,68092
100000,72,66017
100000,73,68813
100000,74,69567
100000,75,87712
100000,76,87670
100000,77,70685
100000,78,69786
100000,79,68895
100000,80,69763
100000,81,70539
100000,82,70049
100000,83,70000
100000,84,70551
100000,85,69719
100000,86,71092
100000,87,69855
100000,88,70176
100000,89,69059
100000,90,69421
100000,91,68591
100000,92,67973
100000,93,69243
100000,94,70022
100000,95,134188
100000,96,72042
100000,97,71891
100000,98,70962
100000,99,71547
100000,100,71560
1000000,1,3268531
1000000,2,3056248
1000000,3,3393278
1000000,4,3184194
1000000,5,1877082
1000000,6,1432879
1000000,7,1021086
1000000,8,1042506
1000000,9,983624
1000000,10,1089802
1000000,11,1405300
1000000,12,1174592
1000000,13,1488375
1000000,14,1022890
1000000,15,1012106
1000000,16,1414903
1000000,17,994870
1000000,18,1217203
1000000,19,1136125
1000000,20,1016954
1000000,21,956413
1000000,22,1169626
1000000,23,1256992
1000000,24,1283073
1000000,25,1361160
1000000,26,1396977
1000000,27,1417123
1000000,28,1714436
1000000,29,1966701
1000000,30,1787243
1000000,31,1577864
1000000,32,1152031
1000000,33,1034142
1000000,34,1003525
1000000,35,1042965
1000000,36,1217935
1000000,37,1115155
1000000,38,1010127
1000000,39,940205
1000000,40,958324
1000000,41,934855
1000000,42,1188317
1000000,43,1371142
1000000,44,923728
1000000,45,1175044
1000000,46,1170863
1000000,47,937986
1000000,48,935599
1000000,49,956940
1000000,50,1109868
1000000,51,1267654
1000000,52,1232330
1000000,53,1188444
1000000,54,1258622
1000000,55,1016020
1000000,56,965617
1000000,57,1125390
1000000,58,1692089
1000000,59,2078157
1000000,60,2801055
1000000,61,3163683
1000000,62,4980361
1000000,63,5490832
1000000,64,3803761
1000000,65,5762233
1000000,66,1142928
1000000,67,1021846
1000000,68,1371997
1000000,69,1457708
1000000,70,954843
1000000,71,972294
1000000,72,1026670
1000000,73,969524
1000000,74,1052183
1000000,75,1161387
1000000,76,1115107
1000000,77,1013595
1000000,78,1139036
1000000,79,993375
1000000,80,1088551
1000000,81,1232182
1000000,82,1400878
1000000,83,1424655
1000000,84,1516697
1000000,85,1354030
1000000,86,1766026
1000000,87,1850517
1000000,88,1683168
1000000,89,1773985
1000000,90,1094134
1000000,91,940528
1000000,92,963961
