Tamanho,Threads,Tempo
10,1,333
10,2,174
10,3,161
10,4,155
10,5,167
10,6,139
10,7,157
10,8,143
10,9,193
10,10,168
100,1,273
100,2,275
100,3,231
100,4,198
100,5,218
100,6,241
100,7,219
100,8,207
100,9,221
100,10,206
100,11,226
100,12,230
100,13,233
100,14,234
100,15,207
100,16,203
100,17,218
100,18,226
100,19,225
100,20,208
100,21,185
100,22,226
100,23,184
100,24,216
100,25,199
100,26,208
100,27,203
100,28,207
100,29,182
100,30,195
100,31,201
100,32,202
100,33,212
100,34,211
100,35,210
100,36,201
100,37,207
100,38,242
100,39,222
100,40,210
100,41,194
100,42,199
100,43,199
100,44,204
100,45,199
100,46,206
100,47,201
100,48,204
100,49,212
100,50,209
100,51,178
100,52,207
100,53,199
100,54,228
100,55,203
100,56,212
100,57,213
100,58,205
100,59,240
100,60,181
100,61,211
100,62,210
100,63,213
100,64,225
100,65,225
100,66,206
100,67,210
100,68,206
100,69,220
100,70,221
100,71,206
100,72,212
100,73,225
100,74,222
100,75,206
100,76,219
100,77,231
100,78,205
100,79,204
100,80,221
100,81,215
100,82,203
100,83,199
100,84,219
100,85,200
100,86,184
100,87,215
100,88,197
100,89,198
100,90,197
100,91,176
100,92,199
100,93,207
100,94,220
100,95,202
100,96,240
100,97,201
100,98,218
100,99,199
100,100,213
1000,1,796
1000,2,841
1000,3,765
1000,4,780
1000,5,832
1000,6,847
1000,7,854
1000,8,1222
1000,9,819
1000,10,756
1000,11,838
1000,12,729
1000,13,765
1000,14,1142
1000,15,972
1000,16,1368
1000,17,752
1000,18,869
1000,19,800
1000,20,787
1000,21,715
1000,22,826
1000,23,803
1000,24,826
1000,25,1247
1000,26,702
1000,27,725
1000,28,742
1000,29,681
1000,30,856
1000,31,800
1000,32,821
1000,33,812
1000,34,1039
1000,35,784
1000,36,708
1000,37,1004
1000,38,798
1000,39,804
1000,40,783
1000,41,994
1000,42,816
1000,43,822
1000,44,721
1000,45,779
1000,46,741
1000,47,794
1000,48,830
1000,49,808
1000,50,1159
1000,51,716
1000,52,760
1000,53,803
1000,54,867
1000,55,925
1000,56,1550
1000,57,797
1000,58,844
1000,59,842
1000,60,846
1000,61,893
1000,62,752
1000,63,738
1000,64,851
1000,65,1552
1000,66,829
1000,67,805
1000,68,756
1000,69,842
1000,70,734
1000,71,690
1000,72,691
1000,73,921
1000,74,743
1000,75,974
1000,76,756
1000,77,664
1000,78,768
1000,79,786
1000,80,916
1000,81,767
1000,82,728
1000,83,774
1000,84,991
1000,85,956
1000,86,843
1000,87,769
1000,88,845
1000,89,811
1000,90,786
1000,91,842
1000,92,705
1000,93,878
1000,94,892
1000,95,811
1000,96,771
1000,97,780
1000,98,794
1000,99,1195
1000,100,897
10000,1,7950
10000,2,8025
10000,3,7378
10000,4,7940
10000,5,8862
10000,6,8610
10000,7,8104
10000,8,7765
10000,9,7142
10000,10,7999
10000,11,6827
10000,12,8322
10000,13,8118
10000,14,7566
10000,15,7926
10000,16,7889
10000,17,6784
10000,18,7746
10000,19,7487
10000,20,7346
10000,21,7314
10000,22,7393
10000,23,7643
10000,24,7641
10000,25,6973
10000,26,6971
10000,27,13533
10000,28,11227
10000,29,7045
10000,30,7131
10000,31,6740
10000,32,7676
10000,33,19164
10000,34,10798
10000,35,8461
10000,36,10080
10000,37,10204
10000,38,11645
10000,39,11532
10000,40,10597
10000,41,9746
10000,42,7342
10000,43,8351
10000,44,8505
10000,45,8509
10000,46,7510
10000,47,7582
10000,48,7782
10000,49,7602
10000,50,8753
10000,51,10830
10000,52,10607
10000,53,8987
10000,54,7797
10000,55,8439
10000,56,6563
10000,57,7224
10000,58,18916
10000,59,19736
10000,60,7424
10000,61,7002
10000,62,7264
10000,63,17970
10000,64,6749
10000,65,8339
10000,66,6884
10000,67,6962
10000,68,6672
10000,69,7558
10000,70,7045
10000,71,6893
10000,72,7060
10000,73,6668
10000,74,7541
10000,75,7363
10000,76,6492
10000,77,6520
10000,78,19451
10000,79,7258
10000,80,8507
10000,81,8346
10000,82,8389
10000,83,9806
10000,84,9621
10000,85,8086
