Tamanho,Threads,Tempo
10,1,176
10,2,117
10,3,105
10,4,95
10,5,96
10,6,100
10,7,104
10,8,104
10,9,102
10,10,128
100,1,152
100,2,154
100,3,144
100,4,188
100,5,130
100,6,159
100,7,128
100,8,130
100,9,133
100,10,142
100,11,135
100,12,176
100,13,156
100,14,128
100,15,946
100,16,132
100,17,128
100,18,127
100,19,132
100,20,148
100,21,127
100,22,129
100,23,132
100,24,128
100,25,186
100,26,135
100,27,155
100,28,129
100,29,130
100,30,131
100,31,127
100,32,129
100,33,131
100,34,397
100,35,153
100,36,133
100,37,147
100,38,132
100,39,135
100,40,131
100,41,241
100,42,127
100,43,128
100,44,128
100,45,137
100,46,139
100,47,124
100,48,137
100,49,138
100,50,138
100,51,137
100,52,136
100,53,137
100,54,128
100,55,150
100,56,127
100,57,129
100,58,130
100,59,130
100,60,129
100,61,225
100,62,155
100,63,128
100,64,130
100,65,138
100,66,139
100,67,140
100,68,137
100,69,130
100,70,135
100,71,141
100,72,139
100,73,123
100,74,125
100,75,138
100,76,125
100,77,136
100,78,136
100,79,136
100,80,122
100,81,128
100,82,127
100,83,124
100,84,127
100,85,130
100,86,128
100,87,125
100,88,177
100,89,130
100,90,137
100,91,124
100,92,129
100,93,130
100,94,128
100,95,131
100,96,122
100,97,144
100,98,205
100,99,136
100,100,126
1000,1,839
1000,2,1146
1000,3,1023
1000,4,1344
1000,5,743
1000,6,940
1000,7,604
1000,8,672
1000,9,606
1000,10,527
1000,11,755
1000,12,782
1000,13,713
1000,14,747
1000,15,1269
1000,16,540
1000,17,871
1000,18,540
1000,19,747
1000,20,1003
1000,21,879
1000,22,1039
1000,23,758
1000,24,1127
1000,25,603
1000,26,812
1000,27,586
1000,28,589
1000,29,644
1000,30,953
1000,31,816
1000,32,608
1000,33,699
1000,34,1355
1000,35,1766
1000,36,659
1000,37,880
1000,38,971
1000,39,1336
1000,40,862
1000,41,874
1000,42,1202
1000,43,633
1000,44,2169
1000,45,736
1000,46,690
1000,47,961
1000,48,1095
1000,49,941
1000,50,917
1000,51,642
1000,52,763
1000,53,635
1000,54,640
1000,55,581
1000,56,769
1000,57,791
1000,58,639
1000,59,686
1000,60,972
1000,61,735
1000,62,11025
1000,63,740
1000,64,722
1000,65,985
1000,66,808
1000,67,1265
1000,68,8840
1000,69,930
1000,70,1221
1000,71,842
1000,72,804
1000,73,1331
1000,74,769
1000,75,912
1000,76,870
1000,77,957
1000,78,870
1000,79,778
1000,80,883
1000,81,1171
1000,82,846
1000,83,653
1000,84,1013
1000,85,765
1000,86,686
1000,87,9619
1000,88,677
1000,89,642
1000,90,671
1000,91,621
1000,92,827
1000,93,1258
1000,94,662
1000,95,711
1000,96,718
1000,97,617
1000,98,632
1000,99,802
1000,100,787
10000,1,6367
10000,2,5723
10000,3,6617
10000,4,5819
10000,5,6643
10000,6,6035
10000,7,5934
10000,8,6221
10000,9,6151
10000,10,6473
10000,11,6258
10000,12,6162
10000,13,6175
10000,14,5697
10000,15,6956
10000,16,6503
10000,17,6343
10000,18,6321
10000,19,6175
10000,20,6698
10000,21,7064
10000,22,7065
10000,23,6499
10000,24,6530
10000,25,6523
10000,26,6373
10000,27,6289
10000,28,7938
10000,29,7145
10000,30,6338
10000,31,7002
10000,32,8572
10000,33,6531
10000,34,6339
10000,35,5979
10000,36,6486
10000,37,5496
10000,38,5871
10000,39,5499
10000,40,5864
10000,41,5839
10000,42,6077
10000,43,6430
10000,44,6209
10000,45,8100
10000,46,6055
10000,47,5803
10000,48,5350
10000,49,5740
10000,50,5778
10000,51,6044
10000,52,5933
10000,53,6523
10000,54,5516
10000,55,5957
10000,56,5400
10000,57,6043
10000,58,5793
10000,59,5871
10000,60,5971
10000,61,5902
10000,62,5796
10000,63,5675
10000,64,5992
10000,65,6169
10000,66,5478
10000,67,6368
10000,68,5434
10000,69,5706
10000,70,5447
10000,71,5383
10000,72,5255
10000,73,5765
10000,74,5580
10000,75,5616
