Size,Threads,Time
10,1,1685
10,2,404
10,3,342
10,4,277
10,5,256
10,6,227
10,7,231
10,8,225
10,9,245
10,10,226
100,1,3456
100,2,281
100,3,267
100,4,238
100,5,233
100,6,257
100,7,238
100,8,1963
100,9,292
100,10,238
1000,1,19073
1000,2,3472
1000,3,3463
1000,4,2108
1000,5,2416
1000,6,2978
1000,7,2080
1000,8,2329
1000,9,2297
1000,10,1964
10000,1,24395
10000,2,19464
10000,3,22826
10000,4,25672
10000,5,20632
10000,6,23099
10000,7,21399
10000,8,18129
10000,9,25789
10000,10,17376
100000,1,333218
100000,2,327296
100000,3,337597
100000,4,315784
100000,5,311800
100000,6,319719
100000,7,304452
100000,8,352941
100000,9,205192
100000,10,169212
