Size,Threads,Time
10,1,660
10,2,607
10,3,505
10,4,519
10,5,501
10,6,484
10,7,500
10,8,521
10,9,387
10,10,331
100,1,864
100,2,614
100,3,680
100,4,824
100,5,3820
100,6,1311
100,7,557
100,8,391
100,9,429
100,10,562
1000,1,3072
1000,2,3039
1000,3,3921
1000,4,3108
1000,5,13513
1000,6,3105
1000,7,15510
1000,8,4018
1000,9,587
1000,10,7133
10000,1,14988
10000,2,16152
10000,3,27266
10000,4,15161
10000,5,18399
10000,6,17060
10000,7,17618
10000,8,15818
10000,9,16321
10000,10,15853
100000,1,417639
100000,2,272288
100000,3,167607
100000,4,173597
100000,5,242839
100000,6,269757
100000,7,285764
100000,8,294963
100000,9,323853
100000,10,319313
