Size,Threads,Time
10,1,632
10,2,336
10,3,334
10,4,533
10,5,285
10,6,403
10,7,512
10,8,267
10,9,269
10,10,263
100,1,6822
100,2,428
100,3,336
100,4,311
100,5,295
100,6,342
100,7,346
100,8,2978
100,9,352
100,10,374
1000,1,2507
1000,2,2593
1000,3,2865
1000,4,2788
1000,5,2672
1000,6,2596
1000,7,2727
1000,8,3624
1000,9,2478
1000,10,14486
10000,1,14993523
10000,2,4430
10000,3,4019
10000,4,4213
10000,5,4825
10000,6,5128
10000,7,10733
10000,8,8246
10000,9,5951
10000,10,8772
100000,1,35186
100000,2,35554
100000,3,38083
100000,4,36426
100000,5,36997
100000,6,36983
100000,7,37510
100000,8,37436
100000,9,39011
100000,10,39888
